index,mid,display_name
72,/m/0jbk,Animal
73,/m/068hy,"Domestic animals, pets"
74,/m/0bt9lr,Dog
75,/m/05tny_,Bark
76,/m/07r_k2n,Yip
77,/m/07qf0zm,Howl
78,/m/07rc7d9,Bow-wow
79,/m/0ghcn6,Growling
80,/t/dd00136,Whimper (dog)
81,/m/01yrx,Cat
82,/m/02yds9,Purr
83,/m/07qrkrw,Meow
84,/m/07rjwbb,Hiss
85,/m/07r81j2,Caterwaul
86,/m/0ch8v,"Livestock, farm animals, working animals"
87,/m/03k3r,Horse
88,/m/07rv9rh,Clip-clop
89,/m/07q5rw0,"Neigh, whinny"
90,/m/01xq0k1,"Cattle, bovinae"
91,/m/07rpkh9,Moo
92,/m/0239kh,Cowbell
93,/m/068zj,Pig
94,/t/dd00018,Oink
95,/m/03fwl,Goat
96,/m/07q0h5t,Bleat
97,/m/07bgp,Sheep
98,/m/025rv6n,Fowl
99,/m/09b5t,"Chicken, rooster"
100,/m/07st89h,Cluck
101,/m/07qn5dc,"Crowing, cock-a-doodle-doo"
102,/m/01rd7k,Turkey
103,/m/07svc2k,Gobble
104,/m/09ddx,Duck
105,/m/07qdb04,Quack
106,/m/0dbvp,Goose
107,/m/07qwf61,Honk
108,/m/01280g,Wild animals
109,/m/0cdnk,"Roaring cats (lions, tigers)"
110,/m/04cvmfc,Roar
111,/m/015p6,Bird
112,/m/020bb7,"Bird vocalization, bird call, bird song"
113,/m/07pggtn,"Chirp, tweet"
114,/m/07sx8x_,Squawk
115,/m/0h0rv,"Pigeon, dove"
116,/m/07r_25d,Coo
117,/m/04s8yn,Crow
118,/m/07r5c2p,Caw
119,/m/09d5_,Owl
120,/m/07r_80w,Hoot
121,/m/05_wcq,"Bird flight, flapping wings"
122,/m/01z5f,"Canidae, dogs, wolves"
123,/m/06hps,"Rodents, rats, mice"
124,/m/04rmv,Mouse
125,/m/07r4gkf,Patter
126,/m/03vt0,Insect
127,/m/09xqv,Cricket
128,/m/09f96,Mosquito
129,/m/0h2mp,"Fly, housefly"
130,/m/07pjwq1,Buzz
131,/m/01h3n,"Bee, wasp, etc."
132,/m/09ld4,Frog
133,/m/07st88b,Croak
134,/m/078jl,Snake
135,/m/07qn4z3,Rattle
136,/m/032n05,Whale vocalization
137,/m/04rlf,Music
