label_id,num_rated,num_true
/m/09x0r,10,10
/m/05zppz,10,9
/m/02zsn,10,10
/m/0ytgt,9,9
/m/01h8n0,10,8
/m/02qldy,10,10
/m/0261r1,10,9
/m/0brhx,10,2
/m/07p6fty,10,5
/m/07q4ntr,10,5
/m/07rwj3x,10,9
/m/07sr1lc,10,5
/m/04gy_2,9,8
/t/dd00135,10,8
/m/03qc9zr,10,8
/m/02rtxlg,10,9
/m/01j3sz,10,10
/t/dd00001,10,8
/m/07r660_,8,8
/m/07s04w4,8,4
/m/07sq110,10,6
/m/07rgt08,10,8
/m/0463cq4,10,9
/t/dd00002,9,9
/m/07qz6j3,10,8
/m/07qw_06,9,7
/m/07plz5l,9,3
/m/015lz1,9,9
/m/0l14jd,10,9
/m/01swy6,10,4
/m/02bk07,0,0
/m/01c194,0,0
/t/dd00003,10,7
/t/dd00004,10,9
/t/dd00005,10,9
/t/dd00006,10,2
/m/06bxc,10,10
/m/02fxyj,10,3
/m/07s2xch,9,7
/m/07r4k75,10,5
/m/01w250,10,9
/m/0lyf6,10,8
/m/07mzm6,9,5
/m/01d3sd,10,10
/m/07s0dtb,10,3
/m/07pyy8b,10,9
/m/07q0yl5,10,4
/m/01b_21,9,9
/m/0dl9sf8,9,3
/m/01hsr_,10,10
/m/07ppn3j,8,3
/m/06h7j,10,6
/m/07qv_x_,10,2
/m/07pbtc8,10,9
/m/03cczk,10,9
/m/07pdhp0,10,6
/m/0939n_,10,9
/m/01g90h,9,6
/m/03q5_w,10,10
/m/02p3nc,6,6
/m/02_nn,10,10
/m/0k65p,10,9
/m/025_jnm,10,9
/m/0l15bq,10,8
/m/01jg02,9,6
/m/01jg1z,7,2
/m/053hz1,10,10
/m/028ght,10,9
/m/07rkbfh,10,9
/m/03qtwd,9,6
/m/07qfr4h,10,8
/t/dd00013,10,7
/m/0jbk,10,10
/m/068hy,9,7
/m/0bt9lr,10,10
/m/05tny_,9,9
/m/07r_k2n,10,3
/m/07qf0zm,10,8
/m/07rc7d9,8,4
/m/0ghcn6,10,9
/t/dd00136,10,5
/m/01yrx,10,10
/m/02yds9,10,8
/m/07qrkrw,10,9
/m/07rjwbb,10,5
/m/07r81j2,9,4
/m/0ch8v,10,8
/m/03k3r,9,7
/m/07rv9rh,10,6
/m/07q5rw0,10,5
/m/01xq0k1,10,8
/m/07rpkh9,10,9
/m/0239kh,9,7
/m/068zj,10,8
/t/dd00018,10,10
/m/03fwl,9,8
/m/07q0h5t,10,10
/m/07bgp,10,6
/m/025rv6n,9,9
/m/09b5t,10,9
/m/07st89h,10,9
/m/07qn5dc,10,10
/m/01rd7k,9,6
/m/07svc2k,8,4
/m/09ddx,9,8
/m/07qdb04,9,7
/m/0dbvp,9,6
/m/07qwf61,9,8
/m/01280g,10,8
/m/0cdnk,10,8
/m/04cvmfc,8,5
/m/015p6,10,10
/m/020bb7,10,10
/m/07pggtn,10,10
/m/07sx8x_,10,5
/m/0h0rv,10,9
/m/07r_25d,10,8
/m/04s8yn,10,8
/m/07r5c2p,9,6
/m/09d5_,10,7
/m/07r_80w,9,5
/m/05_wcq,10,5
/m/01z5f,10,8
/m/06hps,9,6
/m/04rmv,9,4
/m/07r4gkf,9,0
/m/03vt0,10,8
/m/09xqv,6,6
/m/09f96,10,7
/m/0h2mp,10,7
/m/07pjwq1,10,5
/m/01h3n,10,10
/m/09ld4,9,7
/m/07st88b,10,9
/m/078jl,10,4
/m/07qn4z3,10,5
/m/032n05,9,4
/m/04rlf,10,10
/m/04szw,10,10
/m/0fx80y,8,8
/m/0342h,10,8
/m/02sgy,10,8
/m/018vs,9,7
/m/042v_gx,10,10
/m/06w87,9,5
/m/01glhc,8,3
/m/07s0s5r,10,8
/m/018j2,8,7
/m/0jtg0,10,7
/m/04rzd,7,6
/m/01bns_,7,3
/m/07xzm,10,9
/m/05148p4,10,9
/m/05r5c,10,7
/m/01s0ps,9,7
/m/013y1f,9,7
/m/03xq_f,9,8
/m/03gvt,9,8
/m/0l14qv,10,9
/m/01v1d8,10,9
/m/03q5t,10,4
/m/0l14md,8,7
/m/02hnl,10,10
/m/0cfdd,10,8
/m/026t6,10,10
/m/06rvn,10,10
/m/03t3fj,5,2
/m/02k_mr,10,4
/m/0bm02,9,9
/m/011k_j,10,6
/m/01p970,8,8
/m/01qbl,10,9
/m/03qtq,10,10
/m/01sm1g,10,4
/m/07brj,10,10
/m/05r5wn,10,5
/m/0xzly,10,4
/m/0mbct,9,3
/m/016622,9,3
/m/0j45pbj,9,7
/m/0dwsp,9,8
/m/0dwtp,9,8
/m/0dwt5,8,6
/m/0l156b,9,8
/m/05pd6,10,8
/m/01kcd,10,9
/m/0319l,8,5
/m/07gql,9,7
/m/07c6l,8,7
/m/0l14_3,9,8
/m/02qmj0d,10,4
/m/07y_7,10,10
/m/0d8_n,8,2
/m/01xqw,9,8
/m/02fsn,7,7
/m/085jw,9,9
/m/0l14j_,9,8
/m/06ncr,9,6
/m/01wy6,9,8
/m/03m5k,10,8
/m/0395lw,10,10
/m/03w41f,10,9
/m/027m70_,9,4
/m/0gy1t2s,10,8
/m/07n_g,10,5
/m/0f8s22,10,9
/m/026fgl,10,2
/m/0150b9,10,9
/m/03qjg,10,7
/m/0mkg,10,9
/m/0192l,10,9
/m/02bxd,10,9
/m/0l14l2,9,7
/m/07kc_,8,5
/m/0l14t7,9,6
/m/01hgjl,10,9
/m/064t9,0,0
/m/0glt670,0,0
/m/02cz_7,0,0
/m/06by7,0,0
/m/03lty,0,0
/m/05r6t,0,0
/m/0dls3,0,0
/m/0dl5d,0,0
/m/07sbbz2,0,0
/m/05w3f,0,0
/m/06j6l,0,0
/m/0gywn,0,0
/m/06cqb,0,0
/m/01lyv,0,0
/m/015y_n,0,0
/m/0gg8l,0,0
/m/02x8m,0,0
/m/02w4v,0,0
/m/06j64v,0,0
/m/03_d0,0,0
/m/026z9,0,0
/m/0ggq0m,0,0
/m/05lls,0,0
/m/02lkt,0,0
/m/03mb9,0,0
/m/07gxw,0,0
/m/07s72n,0,0
/m/0283d,0,0
/m/0m0jc,0,0
/m/08cyft,0,0
/m/0fd3y,0,0
/m/07lnk,0,0
/m/0g293,0,0
/m/0ln16,0,0
/m/0326g,0,0
/m/0155w,0,0
/m/05fw6t,0,0
/m/02v2lh,0,0
/m/0y4f8,0,0
/m/0z9c,0,0
/m/0164x2,0,0
/m/0145m,0,0
/m/02mscn,0,0
/m/016cjb,0,0
/m/028sqc,0,0
/m/015vgc,0,0
/m/0dq0md,0,0
/m/06rqw,0,0
/m/02p0sh1,0,0
/m/05rwpb,0,0
/m/074ft,0,0
/m/025td0t,0,0
/m/02cjck,0,0
/m/03r5q_,0,0
/m/0l14gg,0,0
/m/07pkxdp,0,0
/m/01z7dr,0,0
/m/0140xf,0,0
/m/0ggx5q,0,0
/m/04wptg,0,0
/t/dd00031,0,0
/t/dd00032,0,0
/t/dd00033,0,0
/t/dd00034,0,0
/t/dd00035,0,0
/t/dd00036,0,0
/t/dd00037,0,0
/m/03m9d0z,10,10
/m/09t49,10,2
/t/dd00092,10,8
/m/0jb2l,9,8
/m/0ngt1,10,9
/m/0838f,10,10
/m/06mb1,10,8
/m/07r10fb,9,5
/t/dd00038,9,7
/m/0j6m2,10,10
/m/0j2kx,9,5
/m/05kq4,10,7
/m/034srq,9,8
/m/06wzb,9,6
/m/07swgks,10,3
/m/02_41,9,6
/m/07pzfmf,9,6
/m/07yv9,10,10
/m/019jd,10,8
/m/0hsrw,9,1
/m/056ks2,9,6
/m/02rlv9,10,9
/m/06q74,8,3
/m/012f08,10,10
/m/0k4j,10,10
/m/0912c9,10,6
/m/07qv_d5,10,8
/m/02mfyn,10,7
/m/04gxbd,10,3
/m/07rknqz,9,8
/m/0h9mv,10,7
/t/dd00134,10,5
/m/0ltv,10,9
/m/07r04,9,8
/m/0gvgw0,8,6
/m/05x_td,10,9
/m/02rhddq,9,5
/m/03cl9h,9,6
/m/01bjv,10,7
/m/03j1ly,10,10
/m/04qvtq,10,8
/m/012n7d,9,6
/m/012ndj,10,8
/m/04_sv,10,9
/m/0btp2,10,10
/m/06d_3,8,8
/m/07jdr,10,6
/m/04zmvq,10,6
/m/0284vy3,10,10
/m/01g50p,10,10
/t/dd00048,9,4
/m/0195fx,10,9
/m/0k5j,9,8
/m/014yck,10,10
/m/04229,9,6
/m/02l6bg,9,5
/m/09ct_,9,9
/m/0cmf2,9,8
/m/0199g,9,7
/m/06_fw,10,8
/m/02mk9,9,9
/t/dd00065,10,8
/m/08j51y,10,2
/m/01yg9g,9,7
/m/01j4z9,10,10
/t/dd00066,9,8
/t/dd00067,10,2
/m/01h82_,0,0
/t/dd00130,10,7
/m/07pb8fc,10,9
/m/07q2z82,10,8
/m/02dgv,10,7
/m/03wwcy,9,7
/m/07r67yg,10,5
/m/02y_763,10,5
/m/07rjzl8,10,2
/m/07r4wb8,9,6
/m/07qcpgn,10,7
/m/07q6cd_,10,10
/m/0642b4,10,4
/m/0fqfqc,10,5
/m/04brg2,10,7
/m/023pjk,9,1
/m/07pn_8q,9,1
/m/0dxrf,10,10
/m/0fx9l,10,9
/m/02pjr4,10,8
/m/02jz0l,10,9
/m/0130jx,9,9
/m/03dnzn,10,4
/m/03wvsk,10,5
/m/01jt3m,10,9
/m/012xff,10,7
/m/04fgwm,10,4
/m/0d31p,10,9
/m/01s0vc,10,7
/m/03v3yw,8,4
/m/0242l,10,7
/m/01lsmm,10,6
/m/02g901,10,8
/m/05rj2,10,7
/m/0316dw,10,8
/m/0c2wf,9,6
/m/01m2v,10,10
/m/081rb,9,7
/m/07pp_mv,10,8
/m/07cx4,10,8
/m/07pp8cl,10,9
/m/01hnzm,10,9
/m/02c8p,10,7
/m/015jpf,10,5
/m/01z47d,9,3
/m/046dlr,10,7
/m/03kmc9,10,10
/m/0dgbq,9,9
/m/030rvx,10,9
/m/01y3hg,9,4
